frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms
1,1,auto,1274,354,1803,1053,1463,656,1564,726,0.411,90.2,True,TN03D9766,0.983,TN03D9766,accepted,394.7
1,2,motorcycle,526,493,755,773,568,588,636,616,0.396,90.2,True,,,,no_text,109.8
2,1,auto,1279,354,1805,1053,1463,653,1567,748,0.506,18,False,,,,,
2,2,motorcycle,470,500,711,808,500,599,570,633,0.266,18,True,,,,no_text,110.9
2,2,motorcycle,470,500,711,808,504,587,565,615,0.266,18,True,,,,no_text,38.3
3,2,motorcycle,420,508,687,832,462,616,533,647,0.52,17.1,True,,,,no_text,177.8
3,1,auto,1275,356,1803,1054,1463,659,1565,727,0.394,17.1,False,,,,,
4,3,car,1130,405,1227,512,1139,466,1179,486,0.408,33.8,True,,,,no_text,49.9
4,2,motorcycle,366,509,661,853,413,617,498,655,0.382,33.8,True,,,,no_text,99.7
4,2,motorcycle,366,509,661,853,418,585,482,623,0.321,33.8,True,,,,no_text,37.5
5,2,motorcycle,252,513,593,912,311,653,397,691,0.547,36.6,True,17055280,0.64,,rejected,127.8
5,3,car,1124,410,1227,514,1137,470,1178,490,0.421,36.6,True,,,,no_text,46.6
6,2,motorcycle,96,538,523,997,171,690,266,734,0.462,21.5,False,,,,,
6,1,auto,1285,356,1805,1056,1466,660,1566,728,0.305,21.5,False,,,,,
7,2,motorcycle,0,556,419,1075,0,735,83,793,0.348,19,False,,,,,
7,3,motorcycle,1049,454,1111,533,1046,455,1109,502,0.27,19,True,,,,no_text,41.5
8,3,car,1099,416,1216,527,1117,486,1157,505,0.361,18,True,,,,no_text,47.1
