frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms
5,1,motorcycle,252,513,593,912,311,653,397,691,0.547,639.1,True,17055280,0.640,,rejected,389.5
5,2,car,1124,410,1227,514,1137,470,1178,490,0.421,639.1,True,,,,no_text,65.4
10,2,car,1091,419,1212,531,1114,487,1151,504,0.540,297.6,True,,,,no_text,65.4
10,3,auto,1278,369,1803,1071,1463,671,1565,734,0.445,297.6,True,TN03D9766,0.989,TN03D9766,accepted,392.1
15,2,car,1044,414,1193,544,1084,493,1124,511,0.564,326.6,True,,,,no_text,60.4
15,3,auto,1283,369,1805,1070,1464,668,1570,734,0.361,326.6,True,TN03D9766,0.978,TN03D9766,accepted,205.3
15,2,motorcycle,943,453,1052,628,960,495,1012,523,0.266,326.6,True,,,,no_text,59.4
20,2,car,1003,408,1171,563,1045,503,1092,521,0.703,243.7,True,,,,no_text,188.2
20,4,motorcycle,848,469,992,693,864,547,927,573,0.456,243.7,True,,,,no_text,79.5
25,5,motorcycle,577,494,830,879,599,638,679,683,0.725,310.2,True,8999,0.609,,rejected,164.7
25,2,car,929,407,1144,590,985,519,1046,545,0.709,310.2,True,,,,no_text,186.0
25,5,motorcycle,577,494,830,879,634,542,696,571,0.424,310.2,True,,,,no_text,164.7
30,2,car,871,411,1118,616,929,537,999,564,0.734,304.0,True,TN103L736,0.863,NL03L736,accepted,178.8
30,6,motorcycle,82,547,610,1077,146,792,262,859,0.574,304.0,True,IN10CC0947,0.856,TN10CC0947,accepted,237.3
30,7,motorcycle,82,547,610,1077,240,626,325,664,0.570,304.0,True,,,,no_text,64.9
35,4,car,807,406,1092,645,870,553,950,585,0.765,307.3,True,AINTOBL7354,0.693,,rejected,155.6
35,8,auto,1292,367,1813,1062,1473,659,1586,739,0.309,307.3,True,TN03D9766,0.983,TN03D9766,accepted,191.9
