frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms,,
5,1,motorcycle,261,531,594,910,316,655,395,688,0.454,859.4,True,,,,no_text,384.7,,m model
5,2,car,1118,412,1229,511,1142,471,1177,491,0.262,859.4,True,,,,no_text,166.6,,
10,2,car,1087,418,1215,531,1116,486,1151,504,0.261,525.4,True,,,,no_text,56.7,,
15,2,car,1046,414,1199,542,1083,489,1123,506,0.289,482.8,True,,,,no_text,59.5,,
20,2,car,1001,409,1175,562,1044,503,1093,525,0.507,478.5,True,,,,no_text,57.1,,
20,3,motorcycle,845,470,987,691,870,549,930,576,0.44,478.5,True,,,,no_text,73.2,,
25,2,car,933,407,1145,591,983,520,1043,545,0.534,496.4,True,,,,no_text,58.6,,
25,4,motorcycle,575,496,825,877,593,639,672,676,0.454,496.4,True,NIOC0094,0.803,NL0C0094,accepted,288.7,,
25,4,motorcycle,575,496,825,877,637,543,697,571,0.33,496.4,True,LS,0.515,,rejected,173.4,,
30,2,car,875,408,1119,615,929,538,999,566,0.441,469.2,True,TN10BL7364,0.741,TN10BL7364,accepted,176.9,,
35,3,car,806,404,1095,645,868,555,952,586,0.407,462.3,True,ETNTOBL7354,0.71,,rejected,165.5,,
40,2,car,661,400,1043,711,734,597,844,637,0.506,477.9,True,FTN10BL7364,0.849,TN10BL7364,accepted,304.3,,
45,2,car,501,392,1000,774,589,643,720,685,0.648,483.4,True,ETN10BL7364,0.882,TN10BL7364,accepted,153,,
50,2,car,238,383,934,891,336,723,505,773,0.702,461.2,True,TH10BL7364,0.905,TN10BL7364,accepted,316.9,,
60,5,auto,1301,355,1818,1047,1474,647,1582,722,0.326,487.4,True,TN03D9766,0.985,TN03D9766,accepted,269.9,,
60,6,car,995,388,1145,510,1031,451,1069,468,0.298,487.4,True,,,,no_text,59.8,,
65,5,auto,1299,351,1811,1044,1472,644,1581,720,0.486,502.6,True,TN03D9766,0.978,TN03D9766,accepted,177.5,,
65,7,auto,1299,351,1811,1044,1543,805,1663,889,0.314,502.6,True,,,,no_text,45,,
65,6,car,954,381,1124,518,995,445,1036,464,0.302,502.6,True,,,,no_text,72.5,,
75,6,car,878,357,1119,546,930,476,993,498,0.278,480.3,True,,,,no_text,72.1,,
75,5,auto,1336,347,1874,1040,1526,634,1635,708,0.264,480.3,True,TN03D9766,0.959,TN03D9766,accepted,206.5,,
80,6,car,825,348,1109,566,882,489,952,516,0.459,471.7,True,,,,no_text,167.1,,
85,6,car,762,339,1088,586,824,500,901,529,0.266,482.2,True,EKO9CX5OGO,0.662,,rejected,165,,
85,5,auto,1373,337,1918,1034,1562,636,1664,701,0.261,482.2,True,TN03D9766,0.953,TN03D9766,accepted,208.3,,
90,6,car,637,329,1052,626,708,526,803,556,0.488,490.8,True,EIN09CX5000,0.81,TN09CX5000,accepted,154.5,,
95,8,car,139,294,926,786,219,629,368,679,0.693,467.4,True,THO9CX5000,0.91,TN09CX5000,accepted,171.1,,
95,5,auto,1376,336,1919,1020,1565,624,1681,711,0.339,467.4,True,TN03D9766,0.987,TN03D9766,accepted,195.7,,
95,5,auto,1376,336,1919,1020,1563,619,1688,744,0.269,467.4,True,AN03D9766,0.891,AN03D9766,accepted,377.8,,
100,5,auto,1377,337,1919,1024,1565,626,1682,712,0.377,461.9,True,N703,0.532,,rejected,173.9,,
105,5,auto,1377,338,1919,1030,1565,629,1677,700,0.25,452.6,True,TN03D9766,0.983,TN03D9766,accepted,186.8,,
110,5,auto,1380,338,1919,1029,1565,625,1679,704,0.313,460.3,True,TN03D9766,0.978,TN03D9766,accepted,183.5,,
110,5,auto,1380,338,1919,1029,1563,620,1688,744,0.292,460.3,True,TN03D9766,0.955,TN03D9766,accepted,170,,
115,5,auto,1386,331,1920,1028,1567,624,1681,705,0.411,472.3,True,TN03D9766,0.957,TN03D9766,accepted,182.2,,
115,9,bus,802,332,1008,560,832,490,873,517,0.363,472.3,True,,,,no_text,49.4,,
115,5,auto,1386,331,1920,1028,1564,621,1688,743,0.328,472.3,True,766,0.874,,rejected,209.9,,
120,5,auto,1384,332,1920,1027,1566,623,1680,703,0.319,469.5,True,TN03D9766,0.976,TN03D9766,accepted,187.6,,
120,5,auto,1384,332,1920,1027,1563,619,1689,749,0.28,469.5,True,TN03D9766,0.967,TN03D9766,accepted,174.9,,
125,5,auto,1381,322,1920,1018,1569,615,1682,691,0.442,470.1,True,TN03D9766,0.981,TN03D9766,accepted,184.8,,
125,10,auto,1381,322,1920,1018,1638,782,1764,866,0.397,470.1,True,,,,no_text,46.2,,
140,5,auto,1384,322,1920,1018,1570,610,1680,687,0.282,535.6,True,TN03D9766,0.983,TN03D9766,accepted,177.2,,
145,10,auto,1380,319,1920,1022,1637,776,1765,863,0.336,495.4,True,,,,no_text,44.9,,
155,5,auto,1377,323,1919,1018,1568,612,1682,686,0.324,502,True,TN03D9766,0.979,TN03D9766,accepted,179.4,,
160,5,auto,1381,320,1920,1018,1567,611,1683,688,0.324,467.2,True,TN03D9766,0.981,TN03D9766,accepted,226.7,,
165,5,auto,1381,316,1919,1015,1567,610,1679,684,0.279,465.9,True,TN03D9766,0.961,TN03D9766,accepted,180.8,,
170,5,auto,1371,319,1920,1014,1561,609,1671,686,0.408,466.9,True,TN03D9766,0.977,TN03D9766,accepted,223.3,,
175,5,auto,1374,320,1918,1019,1565,611,1674,685,0.296,471.5,True,TN03D9766,0.987,TN03D9766,accepted,187,,
190,5,auto,1374,320,1918,1020,1567,609,1679,684,0.263,550.8,True,TN03D9766,0.991,TN03D9766,accepted,188,,
195,5,auto,1384,326,1919,1022,1568,615,1677,687,0.261,468.7,True,TN03D9766,0.98,TN03D9766,accepted,189.1,,
200,5,auto,1382,324,1919,1020,1567,615,1678,689,0.381,478.5,True,TN03D9766,0.958,TN03D9766,accepted,243.6,,
210,5,auto,1381,333,1919,1019,1566,626,1680,702,0.37,544.1,True,TN03D9766,0.985,TN03D9766,accepted,185.8,,
