track_id,vehicle_type,first_frame,last_frame,ocr_attempts,best_plate,best_confidence,all_readings
1,motorcycle,5,5,0,,0.000,
2,car,5,50,4,TN10BL7364,0.905,TN10BL7364
3,motorcycle,20,35,1,,0.000,
4,motorcycle,25,25,2,NL0C0094,0.803,NL0C0094
5,auto,60,305,42,TN03D9766,0.991,AN03D9766;TN03D9766;TN03O9766
6,car,60,90,2,TN09CX5000,0.810,TN09CX5000
7,auto,65,65,0,,0.000,
8,car,95,95,1,TN09CX5000,0.910,TN09CX5000
9,bus,115,115,0,,0.000,
10,auto,125,145,0,,0.000,
11,car,250,255,1,TN41AR002,0.632,TN41AR002
12,car,265,265,1,TN41AR0082,0.937,TN41AR0082
13,auto,350,365,2,TN03D9766,0.984,TN03D9766
14,motorcycle,415,435,2,,0.000,
15,motorcycle,420,440,1,TN10BY5351,0.854,TN10BY5351
16,car,430,430,1,TN37OF3523,0.956,TN37OF3523
17,auto,430,430,1,TN03D9766,0.974,TN03D9766
18,car,435,435,1,,0.000,
19,motorcycle,445,445,1,TN10BY5351,0.906,TN10BY5351
20,car,485,510,3,TN09BT8535,0.855,TN09BT8535;TR09NT8535
21,auto,490,850,82,TN03D9766,0.991,TN03D9766
22,car,515,515,0,,0.000,
23,motorcycle,795,830,3,TN23AP4115,0.945,MZ3AP4115;TN23AP4115
24,motorcycle,800,810,0,,0.000,
25,motorcycle,815,815,0,,0.000,
26,motorcycle,820,835,1,TN23AP4115,0.962,TN23AP4115
27,bus,840,840,1,TN23AP4115,0.883,TN23AP4115
28,auto,840,845,0,,0.000,
29,bus,840,840,1,,0.000,
30,car,865,915,7,TN04AY8104,0.947,TN02AT0104;TN02AT8104;TN04AY8104
31,auto,880,880,0,,0.000,
32,auto,880,880,1,TN03D9766,0.971,TN03D9766
33,motorcycle,895,895,0,,0.000,
34,car,920,920,1,TN04AY8104,0.931,TN04AY8104
35,car,935,945,3,ML28J9333,0.904,ML28J9333;TN12BJ9333;WB28J9333
36,auto,940,960,4,TN03D9766,0.985,TN03D9766
37,car,950,950,1,MZ8J9333,0.882,MZ8J9333
38,motorcycle,950,960,2,NL9EZ1784,0.650,NL9EZ1784
39,car,960,995,7,TN10BY3974,0.918,TN10BV3974;TN10BY3974
40,motorcycle,965,975,0,,0.000,
41,car,1000,1000,1,TN10BI3974,0.884,TN10BI3974
42,car,1015,1060,4,TN073736,0.888,TN073736;TN07E3736
43,auto,1020,1325,54,TN03D9766,0.991,TN03D9766
44,unknown,1055,1055,0,,0.000,
45,car,1065,1065,1,,0.000,
46,auto,1085,1085,0,,0.000,
47,car,1130,1175,5,TN09CS1812,0.929,TN03CS1812;TN09CS1812
48,car,1165,1195,5,TN05DB4398,0.859,TN05DB4398;TN05OB4398
49,car,1180,1180,1,TN09CS1812,0.900,TN09CS1812
50,car,1240,1250,0,,0.000,
51,auto,1275,1275,0,,0.000,
52,motorcycle,1280,1285,2,TN05AT3631,0.977,TN05AL3631;TN05AT3631
53,car,1300,1300,1,TN976500,0.842,TN976500
54,car,1305,1305,1,TN976500,0.982,TN976500
