frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms
1,1,motorcycle,539,503,757,767,571,590,633,618,0.510,821.2,True,,,,no_text,399.9
1,2,auto,1290,359,1796,1051,1456,654,1567,723,0.257,821.2,True,TN03D9766,0.977,TN03D9766,accepted,375.8
2,2,auto,1292,355,1795,1050,1458,651,1566,722,0.306,460.4,True,TN03D9766,0.987,TN03D9766,accepted,182.0
2,1,motorcycle,470,507,712,803,508,605,574,636,0.298,460.4,True,,,,no_text,160.3
3,2,auto,1291,359,1797,1051,1459,653,1570,723,0.309,489.8,True,TN03D9766,0.984,TN03D9766,accepted,185.6
4,2,auto,1292,355,1795,1048,1461,652,1566,719,0.443,488.0,True,TN03D9766,0.981,TN03D9766,accepted,320.0
4,1,motorcycle,379,518,661,847,425,626,496,656,0.334,488.0,True,,,,no_text,319.9
5,1,motorcycle,261,531,594,910,316,655,395,688,0.454,486.7,True,,,,no_text,171.3
5,3,car,1118,412,1229,511,1142,471,1177,491,0.262,486.7,True,,,,no_text,58.8
6,1,motorcycle,103,552,519,990,180,696,264,733,0.311,493.2,True,,,,no_text,149.0
8,3,car,1094,416,1218,526,1126,483,1160,504,0.260,480.7,True,,,,no_text,45.9
9,3,car,1093,416,1216,528,1118,484,1153,504,0.263,495.3,True,,,,no_text,51.1
10,3,car,1087,418,1215,531,1116,486,1151,504,0.261,493.9,True,,,,no_text,55.8
11,3,van,1079,413,1212,533,1109,485,1147,504,0.292,492.3,True,,,,no_text,58.0
12,3,car,1071,417,1210,536,1105,488,1141,504,0.352,485.7,True,,,,no_text,69.4
12,3,motorcycle,989,451,1081,604,997,471,1060,526,0.283,485.7,True,,,,no_text,133.7
13,3,car,1069,415,1212,536,1104,488,1142,504,0.403,485.7,True,,,,no_text,59.1
14,3,car,1061,415,1204,539,1093,488,1128,505,0.340,468.4,True,,,,no_text,65.2
15,3,car,1046,414,1199,542,1083,489,1123,506,0.289,489.7,True,,,,no_text,59.1
16,3,car,1031,412,1189,546,1070,492,1114,510,0.408,488.8,True,,,,no_text,66.1
16,3,motorcycle,909,457,1034,642,938,515,991,544,0.280,488.8,True,,,,no_text,69.1
17,3,car,1027,414,1185,549,1067,496,1111,514,0.472,472.9,True,,,,no_text,61.8
17,3,motorcycle,908,457,1028,651,930,514,987,550,0.393,472.9,True,,,,no_text,63.6
18,3,car,1017,411,1181,554,1058,500,1105,519,0.466,481.7,True,,,,no_text,161.8
18,3,motorcycle,889,466,1011,666,919,512,967,540,0.363,481.7,True,,,,no_text,60.0
19,3,car,1011,408,1177,553,1055,499,1097,519,0.450,488.4,True,,,,no_text,56.7
19,2,auto,1293,368,1800,1065,1470,669,1565,728,0.387,488.4,True,TN03D9766,0.985,TN03D9766,accepted,214.5
19,4,motorcycle,866,466,1001,673,897,534,952,564,0.344,488.4,True,,,,no_text,58.4
20,4,car,1001,409,1175,562,1044,503,1093,525,0.507,482.3,True,,,,no_text,57.4
20,5,motorcycle,845,470,987,691,870,549,930,576,0.440,482.3,True,,,,no_text,75.0
21,4,car,999,408,1172,563,1042,502,1091,525,0.566,485.6,True,DETATT,0.513,,rejected,167.9
21,5,motorcycle,838,470,978,697,855,553,913,579,0.465,485.6,True,,,,no_text,72.7
22,5,motorcycle,817,472,967,709,840,556,905,587,0.590,485.8,True,,,,no_text,61.3
22,4,car,995,407,1170,564,1039,503,1090,526,0.396,485.8,True,,,,no_text,77.4
23,5,motorcycle,636,477,863,828,668,614,736,651,0.467,490.9,True,0199,0.534,,rejected,155.1
23,4,car,946,404,1149,585,994,514,1053,540,0.439,490.9,True,,,,no_text,174.3
23,5,motorcycle,636,477,863,828,698,529,761,555,0.373,490.9,True,13,0.581,,rejected,182.5
24,4,car,939,406,1146,589,990,516,1049,543,0.483,496.0,True,,,,no_text,168.9
24,5,motorcycle,614,473,848,848,671,534,728,562,0.335,496.0,True,,,,no_text,174.4
25,4,car,933,407,1145,591,983,520,1043,545,0.534,487.9,True,,,,no_text,61.1
