track_id,vehicle_type,first_frame,last_frame,ocr_attempts,best_plate,best_confidence,all_readings
1,motorcycle,1,6,0,,0.000,
2,auto,1,19,5,TN03D9766,0.987,TN03D9766
3,car,5,19,0,,0.000,
4,motorcycle,19,54,28,TN10BL7364,0.972,TN10BL7364;TN10DL7364;TN10EL7364;TN10IL7364
5,motorcycle,20,27,5,TN10CC0947,0.875,NL0C0094;TN10CC0947
6,motorcycle,28,29,0,,0.000,
7,motorcycle,31,31,1,TN10CC0947,0.791,TN10CC0947
8,car,59,97,16,TN09CX5000,0.915,TN03CA5000;TN09CI5000;TN09CX5000
9,auto,60,314,170,TN03D9766,0.993,AN03D9766;NL3D9766;TN03D9766;TN03O9766
10,auto,65,65,0,,0.000,
11,auto,103,115,0,,0.000,
12,auto,125,157,0,,0.000,
13,auto,196,202,0,,0.000,
14,car,234,259,5,TN41AR002,0.632,TN41AR002
15,car,262,266,5,TN41AR0082,0.961,TN41AR0082
16,auto,350,430,26,TN03D9766,0.989,TN03D9766;TN03O9766
17,motorcycle,406,420,0,,0.000,
18,motorcycle,411,446,17,TN10BY5351,0.935,KL08Y5351;TN10BY5351
19,car,427,435,9,TN37OF3523,0.956,TN37DF3523;TN37LF3523;TN37OF3523
20,car,477,516,14,TN09BT8635,0.887,TN09BT8535;TN09BT8635;TR09NT8535
21,auto,478,880,404,TN03D9766,0.991,NL309766;NL3D9766;TN03D9766;TN03O9766
22,auto,773,773,0,,0.000,
23,motorcycle,787,804,1,,0.000,
24,auto,791,791,0,,0.000,
25,motorcycle,794,816,0,,0.000,
26,van,814,842,26,TN23AP4115,0.986,MZ3AP4115;TN23AP4115
27,motorcycle,818,821,0,,0.000,
28,auto,827,841,0,,0.000,
29,car,833,853,0,,0.000,
30,bus,840,840,1,,0.000,
31,car,848,921,46,TN04AY8104,0.949,MZ278104;TN02AT0104;TN02AT6104;TN02AT8104;TN02AY8104;TN04AI8104;TN04AT8104;TN04AY8104;TN0CAT0104;TN0CAT8104
32,auto,879,884,0,,0.000,
33,motorcycle,888,894,0,,0.000,
34,motorcycle,895,895,0,,0.000,
35,car,931,950,17,TN12BJ9333,0.923,ML28J9333;MZ839333;MZ8J9333;NL23J9333;TN12BJ3333;TN12BJ9333;TN12OJ9333;WB28J9333
36,auto,938,1326,302,TN03D9766,0.992,TN03D9766
37,motorcycle,946,968,19,TN09EZ1704,0.749,NL9EZ1784;TN09E2174;TN09EZ1704;TN09EZ1784
38,car,954,1001,33,TN10BV3974,0.953,NL08I3374;NL08Y3574;NL09I3374;TN10BI3974;TN10BV3974;TN10BY3974;TN10RY3374
39,motorcycle,969,969,0,,0.000,
40,motorcycle,975,975,0,,0.000,
41,car,1014,1068,22,TN073736,0.894,TN073735;TN073736;TN07E3736;TN07EN3735;TN07EN3736
42,van,1034,1061,0,,0.000,
43,unknown,1059,1067,0,,0.000,
44,auto,1085,1085,0,,0.000,
45,auto,1092,1116,0,,0.000,
46,car,1128,1181,20,TN09CS1812,0.929,TN03CS1812;TN05CS1012;TN09CS1012;TN09CS1812
47,car,1163,1199,27,TN05DB4398,0.934,TN05DB4398;TN05OB4397;TN05OB4398
48,auto,1208,1208,0,,0.000,
49,car,1233,1251,1,,0.000,
50,auto,1241,1275,0,,0.000,
51,motorcycle,1261,1287,8,TN05AT3631,0.987,TN05AL3631;TN05AT3631
52,car,1300,1308,8,TN976500,0.990,TN976500
