frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms
5,1,auto,1280,358,1808,1048,1462,654,1564,721,0.758,739.3,True,TN03D9766,0.984,TN03D9766,accepted,425.5
5,2,car,1120,410,1227,515,1138,474,1175,488,0.673,739.3,True,,,,no_text,200.0
5,3,motorcycle,252,523,591,914,311,656,392,688,0.623,739.3,True,17055280,0.572,,rejected,301.7
5,2,motorcycle,1064,439,1127,558,1075,473,1109,493,0.218,739.3,True,,,,no_text,67.6
10,1,auto,1276,374,1809,1064,1462,667,1560,736,0.711,459.8,True,TN03D9766,0.978,TN03D9766,accepted,230.5
10,2,car,1087,418,1213,533,1115,488,1152,502,0.672,459.8,True,,,,no_text,50.2
15,1,auto,1281,370,1811,1062,1464,667,1564,735,0.741,436.9,True,TN03D9766,0.981,TN03D9766,accepted,244.4
15,2,car,1046,416,1194,545,1082,493,1126,510,0.714,436.9,True,,,,no_text,223.0
15,2,motorcycle,948,453,1055,628,968,518,1003,536,0.569,436.9,True,,,,no_text,136.5
20,1,auto,1277,372,1810,1062,1466,670,1565,735,0.749,410.2,True,TN03D9766,0.984,TN03D9766,accepted,189.3
20,2,car,1001,416,1173,563,1044,504,1094,525,0.736,410.2,True,,,,no_text,61.4
20,4,motorcycle,847,468,989,694,871,553,916,577,0.627,410.2,True,,,,no_text,167.5
20,4,motorcycle,847,468,989,694,879,517,929,538,0.333,410.2,True,,,,no_text,70.2
25,4,car,929,410,1144,596,981,523,1046,546,0.787,435.1,True,,,,no_text,314.2
25,1,auto,1281,367,1820,1062,1474,665,1571,731,0.730,435.1,True,TN03D9766,0.986,TN03D9766,accepted,196.1
25,5,motorcycle,567,489,829,876,599,637,673,682,0.479,435.1,True,EINIOC0947,0.863,TN10C0947,accepted,189.0
30,1,auto,1278,369,1819,1059,1475,665,1570,729,0.713,403.3,True,TN03D9766,0.977,TN03D9766,accepted,186.1
30,4,car,872,412,1118,622,929,540,1000,566,0.645,403.3,True,ETN10BL7364,0.727,TN10BL7364,accepted,167.9
30,6,motorcycle,99,541,611,1079,150,792,262,861,0.615,403.3,True,INI0CC0947,0.833,TN10CC0947,accepted,179.2
35,1,auto,1281,370,1816,1057,1476,665,1571,726,0.707,415.2,True,TN03D9766,0.988,TN03D9766,accepted,186.8
35,4,car,806,408,1093,645,870,558,951,585,0.679,415.2,True,FTNIOBL7354,0.687,TN10BL7354,accepted,178.9
40,1,auto,1279,366,1819,1055,1476,663,1573,726,0.661,431.5,True,TN03D9766,0.983,TN03D9766,accepted,178.2
40,4,car,655,401,1042,711,736,602,840,634,0.657,431.5,True,ETN10BL7364,0.861,TN10BL7364,accepted,189.6
45,5,car,496,394,998,779,589,647,719,684,0.713,455.4,True,TN10BL7364,0.933,TN10BL7364,accepted,317.7
45,1,auto,1281,361,1821,1055,1477,663,1575,720,0.654,455.4,True,TN03D9766,0.984,TN03D9766,accepted,198.2
50,7,car,219,380,931,890,339,722,506,773,0.790,408.0,True,TN10BL7364,0.957,TN10BL7364,accepted,180.2
50,1,auto,1280,353,1822,1053,1475,657,1576,722,0.699,408.0,True,TN03D9766,0.988,TN03D9766,accepted,241.0
50,8,car,1049,398,1165,496,1080,442,1116,459,0.213,408.0,True,,,,no_text,58.0
55,1,auto,1281,356,1825,1050,1475,656,1576,722,0.705,429.5,True,TN03D9766,0.989,TN03D9766,accepted,184.4
60,1,auto,1282,360,1835,1046,1478,650,1579,718,0.702,411.6,True,TN03D9766,0.974,TN03D9766,accepted,185.9
65,1,auto,1279,352,1835,1042,1474,644,1577,716,0.709,405.3,True,TN03D9766,0.988,TN03D9766,accepted,182.7
65,8,car,955,383,1125,520,999,468,1040,485,0.451,405.3,True,,,,no_text,66.2
70,1,auto,1296,348,1849,1039,1493,643,1596,710,0.653,447.8,True,TN03D9766,0.987,TN03D9766,accepted,232.0
70,8,car,927,372,1118,527,973,469,1019,486,0.572,447.8,True,,,,no_text,164.8
75,1,auto,1327,334,1878,1036,1524,638,1630,708,0.720,413.7,True,TN03D9766,0.982,TN03D9766,accepted,187.7
75,8,car,879,360,1116,547,932,480,990,500,0.538,413.7,True,,,,no_text,173.0
80,1,auto,1346,337,1906,1036,1546,639,1653,708,0.749,425.0,True,TN03D9766,0.987,TN03D9766,accepted,232.8
80,8,car,824,352,1106,570,887,492,955,514,0.629,425.0,True,,,,no_text,175.5
85,1,auto,1359,340,1911,1034,1561,634,1663,705,0.742,412.8,True,TN03D9766,0.981,TN03D9766,accepted,227.5
85,8,car,759,343,1089,590,828,502,901,526,0.647,412.8,True,ETRO9CXSOGO,0.712,TR09CX5060,accepted,174.2
90,1,auto,1367,339,1917,1030,1569,629,1671,697,0.725,427.2,True,TN03D9766,0.980,TN03D9766,accepted,243.7
90,8,car,638,331,1052,629,711,529,801,555,0.651,427.2,True,IN09CX5000,0.892,TN09CX5000,accepted,183.8
95,9,car,129,293,923,785,217,632,366,680,0.687,414.0,True,THO9CX5000,0.914,TN09CX5000,accepted,163.6
95,1,auto,1366,337,1917,1027,1570,629,1669,691,0.673,414.0,True,TN03D9766,0.975,TN03D9766,accepted,198.6
100,1,bus,1370,331,1917,1010,1570,629,1669,691,0.669,405.8,True,TN03D9766,0.991,TN03D9766,accepted,188.8
105,1,bus,1369,331,1917,1014,1569,630,1668,692,0.676,444.7,True,TN03D9766,0.976,TN03D9766,accepted,177.1
110,1,auto,1365,336,1917,1031,1569,628,1669,692,0.672,422.8,True,TN03D9766,0.989,TN03D9766,accepted,188.8
115,1,auto,1366,333,1918,1030,1571,628,1672,689,0.646,406.3,True,TN03D9766,0.986,TN03D9766,accepted,190.7
120,1,auto,1366,334,1917,1029,1570,628,1669,689,0.677,418.2,True,TN03D9766,0.990,TN03D9766,accepted,189.2
