track_id,vehicle_type,first_frame,last_frame,ocr_attempts,best_plate,best_confidence,all_readings
1,auto,5,1325,265,TN03D9766,0.993,TN03D9766
2,car,5,20,0,,0.000,
3,motorcycle,5,5,1,,0.000,
4,motorcycle,20,40,3,TN10BL7364,0.861,TN10BL7354;TN10BL7364
5,motorcycle,25,45,2,TN10BL7364,0.933,TN10BL7364;TN10C0947
6,motorcycle,30,30,1,TN10CC0947,0.833,TN10CC0947
7,car,50,50,1,TN10BL7364,0.957,TN10BL7364
8,car,50,90,2,TN09CX5000,0.892,TN09CX5000;TR09CX5060
9,car,95,95,1,TN09CX5000,0.914,TN09CX5000
10,car,230,260,3,TN41AR0082,0.894,TN41AR002;TN41AR0082
11,car,265,265,1,TN41AR0082,0.965,TN41AR0082
12,motorcycle,400,440,3,TN10BY5351,0.849,TN10BY5351
13,car,415,415,0,,0.000,
14,car,430,430,1,TN37OF3523,0.929,TN37OF3523
15,car,435,435,1,,0.000,
16,motorcycle,445,445,1,TN10BY5351,0.839,TN10BY5351
17,auto,445,595,29,NL54O2020,0.994,NL54O2020
18,car,465,510,3,TN09BT8635,0.771,TN09BT8635
19,car,515,515,0,,0.000,
20,motorcycle,790,800,0,,0.000,
21,motorcycle,790,815,1,,0.000,
22,motorcycle,800,835,4,TN23AP4115,0.977,TN23AP4115;TN23AP4119
23,motorcycle,815,815,0,,0.000,
24,auto,830,1090,24,,0.000,
25,bus,840,840,1,TN23AP4115,0.800,TN23AP4115
26,car,840,915,8,TN04AY8104,0.967,TN02AT8104;TN04AY8104;WB4AT8104
27,auto,880,880,0,,0.000,
28,motorcycle,885,885,0,,0.000,
29,car,920,920,1,TN04AY8104,0.929,TN04AY8104
30,motorcycle,930,960,1,TN09EZ1784,0.634,TN09EZ1784
31,car,935,945,3,TN12BJ9333,0.914,TN12BJ9333
32,car,950,950,1,MZ8J8333,0.870,MZ8J8333
33,car,950,995,7,TN10BY3974,0.952,TN10BV3974;TN10BY3974
34,motorcycle,965,965,1,,0.000,
35,car,990,1060,4,TN073736,0.854,TN073736;TN07S3736
36,car,1000,1000,1,ML08I3974,0.872,ML08I3974
37,car,1025,1030,0,,0.000,
38,car,1045,1045,0,,0.000,
39,car,1065,1065,1,,0.000,
40,car,1100,1175,4,TN09CS1812,0.924,TN03CS1012;TN09CS1012;TN09CS1812
41,car,1140,1195,5,TN05OB4398,0.917,TN05DB4398;TN05OB4398
42,car,1180,1180,1,,0.000,
43,car,1225,1250,0,,0.000,
44,car,1300,1300,1,TN976500,0.863,TN976500
45,car,1305,1305,1,TN976500,0.977,TN976500
