frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms,,,
5,1,motorcycle,252,513,593,912,311,653,397,691,0.547,452.2,True,17055280,0.64,,rejected,364.1,,,s model
5,2,car,1124,410,1227,514,1137,470,1178,490,0.421,452.2,True,,,,no_text,77.8,,,
10,2,car,1091,419,1212,531,1114,487,1151,504,0.54,243,True,,,,no_text,52.4,,,
10,3,auto,1278,369,1803,1071,1463,671,1565,734,0.445,243,True,TN03D9766,0.989,TN03D9766,accepted,381.1,,,
15,2,car,1044,414,1193,544,1084,493,1124,511,0.564,223.8,True,,,,no_text,57.8,,,
15,3,auto,1283,369,1805,1070,1464,668,1570,734,0.361,223.8,True,TN03D9766,0.978,TN03D9766,accepted,209.6,,,
15,2,motorcycle,943,453,1052,628,960,495,1012,523,0.266,223.8,True,,,,no_text,55.5,,,
20,2,car,1003,408,1171,563,1045,503,1092,521,0.703,231.3,True,,,,no_text,196.7,,,
20,4,motorcycle,848,469,992,693,864,547,927,573,0.456,231.3,True,,,,no_text,88.1,,,
25,5,motorcycle,577,494,830,879,599,638,679,683,0.725,245.4,True,8999,0.609,,rejected,152.8,,,
25,2,car,929,407,1144,590,985,519,1046,545,0.709,245.4,True,,,,no_text,171.2,,,
25,5,motorcycle,577,494,830,879,634,542,696,571,0.424,245.4,True,,,,no_text,171.3,,,
30,2,car,871,411,1118,616,929,537,999,564,0.734,260.7,True,TN103L736,0.863,NL03L736,accepted,170.7,,,
30,6,motorcycle,82,547,610,1077,146,792,262,859,0.574,260.7,True,IN10CC0947,0.856,TN10CC0947,accepted,202.5,,,
30,7,motorcycle,82,547,610,1077,240,626,325,664,0.57,260.7,True,,,,no_text,59.9,,,
35,4,car,807,406,1092,645,870,553,950,585,0.765,260.7,True,AINTOBL7354,0.693,,rejected,159.8,,,
35,8,auto,1292,367,1813,1062,1473,659,1586,739,0.309,260.7,True,TN03D9766,0.983,TN03D9766,accepted,195.4,,,
40,2,car,658,401,1043,714,736,597,842,635,0.737,222.9,True,2TN108L7364,0.862,TN1OBL7364,accepted,294.4,,,
40,8,auto,1286,364,1819,1062,1474,666,1577,732,0.271,222.9,True,TN03D9766,0.98,TN03D9766,accepted,201.3,,,
45,2,car,492,393,997,780,589,641,720,686,0.806,216.4,True,ETN10BL7364,0.918,TN10BL7364,accepted,169.2,,,
45,8,auto,1288,362,1820,1061,1474,658,1586,746,0.475,216.4,True,,,,no_text,193.8,,,
50,9,car,215,380,928,897,336,721,504,774,0.744,216.2,True,FTN10BL7364,0.912,TN10BL7364,accepted,172.6,,,
50,8,auto,1283,358,1824,1061,1471,663,1575,729,0.386,216.2,True,TN03D9766,0.989,TN03D9766,accepted,198.3,,,
55,8,auto,1285,358,1825,1054,1470,662,1574,725,0.52,213.6,True,TN03D9766,0.988,TN03D9766,accepted,185.7,,,
60,8,auto,1292,353,1822,1048,1473,648,1581,742,0.473,229.8,True,TN03D9766,0.982,TN03D9766,accepted,264.3,,,
60,10,car,995,387,1144,512,1034,454,1072,468,0.289,229.8,True,,,,no_text,68.4,,,
65,8,auto,1286,351,1818,1045,1474,651,1570,714,0.598,224.5,True,TN03D9766,0.99,TN03D9766,accepted,184,,,
75,8,auto,1329,343,1874,1040,1528,638,1634,714,0.334,253.2,True,TN03D9766,0.968,TN03D9766,accepted,177.1,,,
80,10,car,825,352,1106,566,883,491,955,515,0.672,214.9,True,,,,no_text,175.2,,,
85,10,car,759,342,1090,586,825,504,900,531,0.643,222.2,True,ETKO9CX5OGO,0.708,,rejected,168.3,,,
85,8,auto,1363,332,1909,1035,1561,636,1667,703,0.611,222.2,True,TN03D9766,0.98,TN03D9766,accepted,308.6,,,
90,10,car,634,332,1052,629,709,525,801,555,0.725,255.7,True,STN09CX5000,0.756,TN09CX5000,accepted,168.7,,,
90,8,auto,1373,329,1914,1030,1567,629,1677,710,0.489,255.7,True,,,,no_text,154,,,
90,8,auto,1373,329,1914,1030,1560,624,1682,758,0.306,255.7,True,,,,no_text,150.3,,,
95,11,car,136,296,918,786,220,635,367,677,0.778,223.3,True,THO9CX5000,0.955,TN09CX5000,accepted,310.9,,,
95,8,auto,1375,326,1913,1027,1567,627,1673,703,0.592,223.3,True,TN03D9766,0.987,TN03D9766,accepted,196.1,,,
100,8,auto,1373,326,1912,1029,1567,628,1673,702,0.548,235.3,True,TN03D9766,0.98,TN03D9766,accepted,229.2,,,
105,8,auto,1371,325,1912,1028,1566,628,1673,701,0.632,218.2,True,TN03D9766,0.976,TN03D9766,accepted,229.6,,,
110,8,auto,1370,322,1914,1029,1564,627,1675,703,0.595,224.2,True,TN03D9766,0.989,TN03D9766,accepted,224.6,,,
115,8,auto,1374,318,1915,1028,1565,625,1682,709,0.617,225.6,True,TN03D9766,0.986,TN03D9766,accepted,178.5,,,
115,8,auto,1374,318,1915,1028,1560,623,1685,749,0.389,225.6,True,TN03D9766,0.968,TN03D9766,accepted,220.3,,,
120,8,auto,1368,320,1915,1027,1566,627,1677,702,0.657,222.8,True,TN03D9766,0.988,TN03D9766,accepted,226.1,,,
125,8,auto,1375,315,1912,1024,1567,620,1683,698,0.504,216.6,True,TN03D9766,0.989,TN03D9766,accepted,181.9,,,
