track_id,vehicle_type,first_frame,last_frame,ocr_attempts,best_plate,best_confidence,all_readings
1,motorcycle,5,5,1,,0.000,
2,car,5,45,3,TN10BL7364,0.918,NL03L736;TN10BL7364;TN1OBL7364
3,auto,10,15,2,TN03D9766,0.989,TN03D9766
4,motorcycle,20,35,1,,0.000,
5,motorcycle,25,25,1,,0.000,
6,motorcycle,30,30,1,TN10CC0947,0.856,TN10CC0947
7,motorcycle,30,30,0,,0.000,
8,auto,35,315,47,TN03D9766,0.990,TN03D9766
9,car,50,50,1,TN10BL7364,0.912,TN10BL7364
10,car,60,90,2,TN09CX5000,0.756,TN09CX5000
11,car,95,95,1,TN09CX5000,0.955,TN09CX5000
12,car,245,260,2,TN41AR0082,0.901,TN41AR0082
13,car,265,265,1,TN41AR0082,0.976,TN41AR0082
14,auto,305,340,0,,0.000,
15,auto,375,1325,203,TN03D9766,0.990,TN03D9766;TN03O9766
16,car,400,440,2,TN1OBY5351,0.844,TN1OBY5351
17,motorcycle,410,415,0,,0.000,
18,car,430,430,1,TN37OF3523,0.939,TN37OF3523
19,car,435,435,1,,0.000,
20,motorcycle,445,445,1,TN1OBY5351,0.894,TN1OBY5351
21,auto,450,450,1,,0.000,
22,car,485,510,3,TN09BT8535,0.850,TN09BT8535
23,car,515,515,0,,0.000,
24,auto,520,520,0,,0.000,
25,auto,565,590,1,,0.000,
26,motorcycle,795,800,0,,0.000,
27,motorcycle,800,815,1,,0.000,
28,motorcycle,805,805,0,,0.000,
29,motorcycle,815,835,1,TN23AP4115,0.962,TN23AP4115
30,auto,815,840,0,,0.000,
31,bus,820,830,3,TN23AP4115,0.955,TN23AP4113;TN23AP4115;TN23AP4119
32,bus,840,840,1,TN23AP4115,0.866,TN23AP4115
33,bus,850,850,0,,0.000,
34,car,870,915,8,TN04AY8104,0.961,NL4AY8104;TN02ATA104;TN04AY8104;TN0ZAT8104
35,auto,875,875,0,,0.000,
36,motorcycle,895,895,0,,0.000,
37,car,920,920,1,NL4AY8104,0.918,NL4AY8104
38,car,935,945,3,TN1ZBJ9333,0.925,TN12BJ9333;TN1ZBJ9333
39,motorcycle,945,995,7,TN10BY3974,0.884,TN10BY3974;TN1OBY3974
40,car,950,950,1,MZ8J3333,0.852,MZ8J3333
41,motorcycle,955,955,0,,0.000,
42,motorcycle,960,960,1,,0.000,
43,motorcycle,965,965,0,,0.000,
44,auto,965,965,0,,0.000,
45,car,1000,1000,1,TN1OBI3974,0.838,TN1OBI3974
46,auto,1000,1055,0,,0.000,
47,car,1010,1060,3,TN073735,0.863,TN073735;TN07EN3736
48,car,1065,1065,1,,0.000,
49,auto,1090,1120,1,,0.000,
50,car,1130,1175,4,TN09CS1812,0.879,TN03CS1012;TN03CS1812;TN09CS1812
51,auto,1135,1135,0,,0.000,
52,car,1165,1195,6,TN0SOB4398,0.915,NL5DB4398;TN0SOB4398
53,car,1180,1180,1,TN09CS1812,0.927,TN09CS1812
54,motorcycle,1235,1235,0,,0.000,
55,car,1235,1245,0,,0.000,
56,auto,1265,1300,0,,0.000,
57,car,1300,1300,1,TN976500,0.876,TN976500
58,car,1305,1305,1,TN976500,0.979,TN976500
