frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms
5,1,auto,1280,358,1808,1048,1462,654,1564,721,0.758,760.8,True,TN03D9766,0.984,TN03D9766,accepted,445.6
5,2,car,1120,410,1227,515,1138,474,1175,488,0.673,760.8,True,,,,no_text,207.3
5,3,motorcycle,252,523,591,914,311,656,392,688,0.623,760.8,True,17055280,0.572,,rejected,279.3
5,2,motorcycle,1064,439,1127,558,1075,473,1109,493,0.218,760.8,True,,,,no_text,57.5
10,1,auto,1276,374,1809,1064,1462,667,1560,736,0.711,434.6,True,TN03D9766,0.978,TN03D9766,accepted,249.5
10,2,car,1087,418,1213,533,1115,488,1152,502,0.672,434.6,True,,,,no_text,59.5
15,1,auto,1281,370,1811,1062,1464,667,1564,735,0.741,510.8,True,TN03D9766,0.981,TN03D9766,accepted,276.5
15,2,car,1046,416,1194,545,1082,493,1126,510,0.714,510.8,True,,,,no_text,180.6
15,2,motorcycle,948,453,1055,628,968,518,1003,536,0.569,510.8,True,,,,no_text,172.3
20,1,auto,1277,372,1810,1062,1466,670,1565,735,0.749,467.1,True,TN03D9766,0.984,TN03D9766,accepted,199.3
20,2,car,1001,416,1173,563,1044,504,1094,525,0.736,467.1,True,,,,no_text,61.8
20,4,motorcycle,847,468,989,694,871,553,916,577,0.627,467.1,True,,,,no_text,180.9
20,4,motorcycle,847,468,989,694,879,517,929,538,0.333,467.1,True,,,,no_text,65.7
25,4,car,929,410,1144,596,981,523,1046,546,0.787,441.4,True,,,,no_text,307.9
25,1,auto,1281,367,1820,1062,1474,665,1571,731,0.730,441.4,True,TN03D9766,0.986,TN03D9766,accepted,199.8
25,5,motorcycle,567,489,829,876,599,637,673,682,0.479,441.4,True,EINIOC0947,0.863,TN10C0947,accepted,192.6
30,1,auto,1278,369,1819,1059,1475,665,1570,729,0.713,454.4,True,TN03D9766,0.977,TN03D9766,accepted,197.6
30,4,car,872,412,1118,622,929,540,1000,566,0.645,454.4,True,ETN10BL7364,0.727,TN10BL7364,accepted,170.5
30,6,motorcycle,99,541,611,1079,150,792,262,861,0.615,454.4,True,INI0CC0947,0.833,TN10CC0947,accepted,200.2
35,1,auto,1281,370,1816,1057,1476,665,1571,726,0.707,454.0,True,TN03D9766,0.988,TN03D9766,accepted,187.6
35,4,car,806,408,1093,645,870,558,951,585,0.679,454.0,True,FTNIOBL7354,0.687,TN10BL7354,accepted,176.9
40,1,auto,1279,366,1819,1055,1476,663,1573,726,0.661,435.4,True,TN03D9766,0.983,TN03D9766,accepted,197.1
40,4,car,655,401,1042,711,736,602,840,634,0.657,435.4,True,ETN10BL7364,0.861,TN10BL7364,accepted,180.8
45,5,car,496,394,998,779,589,647,719,684,0.713,420.6,True,TN10BL7364,0.933,TN10BL7364,accepted,324.7
45,1,auto,1281,361,1821,1055,1477,663,1575,720,0.654,420.6,True,TN03D9766,0.984,TN03D9766,accepted,210.0
50,7,car,219,380,931,890,339,722,506,773,0.790,472.5,True,TN10BL7364,0.957,TN10BL7364,accepted,169.6
50,1,auto,1280,353,1822,1053,1475,657,1576,722,0.699,472.5,True,TN03D9766,0.988,TN03D9766,accepted,258.7
50,8,car,1049,398,1165,496,1080,442,1116,459,0.213,472.5,True,,,,no_text,58.4
55,1,auto,1281,356,1825,1050,1475,656,1576,722,0.705,437.7,True,TN03D9766,0.989,TN03D9766,accepted,197.5
60,1,auto,1282,360,1835,1046,1478,650,1579,718,0.702,455.0,True,TN03D9766,0.974,TN03D9766,accepted,180.5
65,1,auto,1279,352,1835,1042,1474,644,1577,716,0.709,424.3,True,TN03D9766,0.988,TN03D9766,accepted,182.2
65,8,car,955,383,1125,520,999,468,1040,485,0.451,424.3,True,,,,no_text,65.2
70,1,auto,1296,348,1849,1039,1493,643,1596,710,0.653,432.3,True,TN03D9766,0.987,TN03D9766,accepted,239.6
70,8,car,927,372,1118,527,973,469,1019,486,0.572,432.3,True,,,,no_text,172.0
75,1,auto,1327,334,1878,1036,1524,638,1630,708,0.720,440.9,True,TN03D9766,0.982,TN03D9766,accepted,189.6
75,8,car,879,360,1116,547,932,480,990,500,0.538,440.9,True,,,,no_text,179.0
80,1,auto,1346,337,1906,1036,1546,639,1653,708,0.749,423.2,True,TN03D9766,0.987,TN03D9766,accepted,240.0
80,8,car,824,352,1106,570,887,492,955,514,0.629,423.2,True,,,,no_text,172.9
85,1,auto,1359,340,1911,1034,1561,634,1663,705,0.742,417.4,True,TN03D9766,0.981,TN03D9766,accepted,250.3
85,8,car,759,343,1089,590,828,502,901,526,0.647,417.4,True,ETRO9CXSOGO,0.712,TR09CX5060,accepted,178.4
90,1,auto,1367,339,1917,1030,1569,629,1671,697,0.725,451.1,True,TN03D9766,0.980,TN03D9766,accepted,247.0
90,8,car,638,331,1052,629,711,529,801,555,0.651,451.1,True,IN09CX5000,0.892,TN09CX5000,accepted,186.3
95,9,car,129,293,923,785,217,632,366,680,0.687,494.3,True,THO9CX5000,0.914,TN09CX5000,accepted,182.5
95,1,auto,1366,337,1917,1027,1570,629,1669,691,0.673,494.3,True,TN03D9766,0.975,TN03D9766,accepted,224.9
100,1,bus,1370,331,1917,1010,1570,629,1669,691,0.669,661.2,True,TN03D9766,0.991,TN03D9766,accepted,199.9
105,1,bus,1369,331,1917,1014,1569,630,1668,692,0.676,436.6,True,TN03D9766,0.976,TN03D9766,accepted,190.6
110,1,auto,1365,336,1917,1031,1569,628,1669,692,0.672,460.2,True,TN03D9766,0.989,TN03D9766,accepted,207.3
115,1,auto,1366,333,1918,1030,1571,628,1672,689,0.646,449.6,True,TN03D9766,0.986,TN03D9766,accepted,191.2
120,1,auto,1366,334,1917,1029,1570,628,1669,689,0.677,445.4,True,TN03D9766,0.990,TN03D9766,accepted,200.9
125,1,auto,1366,329,1917,1021,1572,621,1672,688,0.749,441.0,True,TN03D9766,0.979,TN03D9766,accepted,237.9
130,1,auto,1367,326,1917,1017,1572,618,1673,687,0.737,427.9,True,TN03D9766,0.985,TN03D9766,accepted,239.2
135,1,auto,1369,326,1917,1019,1572,617,1674,686,0.703,477.3,True,TN03D9766,0.971,TN03D9766,accepted,206.1
140,1,auto,1369,328,1917,1021,1573,620,1676,688,0.717,522.1,True,TN03D9766,0.987,TN03D9766,accepted,240.0
145,1,auto,1368,326,1917,1020,1572,619,1672,687,0.730,415.4,True,TN03D9766,0.977,TN03D9766,accepted,249.5
150,1,auto,1366,326,1917,1021,1568,620,1671,687,0.694,501.9,True,TN03D9766,0.974,TN03D9766,accepted,277.4
155,1,auto,1367,325,1917,1021,1569,619,1672,686,0.705,624.1,True,TN03D9766,0.981,TN03D9766,accepted,257.0
160,1,auto,1366,325,1917,1019,1570,616,1674,686,0.710,474.0,True,TN03D9766,0.983,TN03D9766,accepted,189.2
165,1,auto,1364,323,1916,1014,1569,614,1671,684,0.698,459.5,True,TN03D9766,0.980,TN03D9766,accepted,198.8
170,1,auto,1363,325,1911,1014,1565,616,1664,684,0.706,462.1,True,TN03D9766,0.985,TN03D9766,accepted,240.9
175,1,auto,1365,328,1912,1016,1567,619,1669,685,0.724,550.9,True,TN03D9766,0.982,TN03D9766,accepted,198.4
180,1,auto,1366,325,1914,1013,1568,614,1669,684,0.689,722.0,True,TN03D9766,0.965,TN03D9766,accepted,186.8
185,1,auto,1365,326,1914,1014,1568,615,1669,683,0.686,591.6,True,TN03D9766,0.982,TN03D9766,accepted,303.4
190,1,auto,1366,330,1914,1015,1568,619,1671,685,0.719,478.2,True,TN03D9766,0.983,TN03D9766,accepted,252.7
195,1,auto,1367,332,1915,1018,1568,622,1672,687,0.693,485.6,True,TN03D9766,0.982,TN03D9766,accepted,183.9
200,1,auto,1366,329,1915,1018,1566,621,1670,691,0.700,816.7,True,TN03D9766,0.988,TN03D9766,accepted,245.0
205,1,auto,1368,332,1915,1023,1569,625,1672,691,0.676,485.1,True,TN03D9766,0.989,TN03D9766,accepted,198.2
210,1,auto,1366,334,1916,1027,1570,629,1669,689,0.672,511.2,True,TN03D9766,0.987,TN03D9766,accepted,196.8
215,1,auto,1367,334,1914,1028,1570,627,1670,690,0.698,447.7,True,TN03D9766,0.993,TN03D9766,accepted,203.8
220,1,auto,1369,333,1915,1025,1569,625,1673,691,0.690,506.4,True,TN03D9766,0.989,TN03D9766,accepted,204.3
225,1,auto,1368,331,1915,1024,1569,624,1673,690,0.687,453.2,True,TN03D9766,0.987,TN03D9766,accepted,252.6
230,1,auto,1367,332,1914,1024,1569,625,1671,689,0.679,454.3,True,TN03D9766,0.988,TN03D9766,accepted,235.9
230,10,car,1061,387,1198,487,1096,451,1132,464,0.212,454.3,True,,,,no_text,69.0
235,1,auto,1369,332,1915,1022,1569,623,1673,691,0.698,488.1,True,TN03D9766,0.980,TN03D9766,accepted,184.9
235,10,car,1028,386,1182,498,1066,456,1109,471,0.379,488.1,True,,,,no_text,89.2
240,1,auto,1369,334,1915,1025,1571,626,1673,690,0.698,447.3,True,TN03D9766,0.987,TN03D9766,accepted,232.4
240,10,car,986,386,1161,512,1029,467,1076,482,0.354,447.3,True,MO,0.516,,rejected,174.3
245,1,auto,1371,335,1916,1027,1570,628,1672,690,0.655,483.5,True,TN03D9766,0.989,TN03D9766,accepted,246.4
245,10,car,930,386,1137,532,977,479,1033,498,0.545,483.5,True,,,,no_text,76.5
250,1,auto,1371,334,1917,1028,1573,628,1678,693,0.686,528.5,True,TN03D9766,0.952,TN03D9766,accepted,260.5
250,10,car,858,385,1105,557,911,496,974,518,0.540,528.5,True,,,,no_text,73.5
255,1,auto,1376,332,1918,1029,1576,627,1681,691,0.702,477.6,True,TN03D9766,0.969,TN03D9766,accepted,208.8
255,10,car,755,383,1066,595,815,521,893,547,0.581,477.6,True,TN41AR002,0.665,TN41AR002,accepted,176.5
260,1,auto,1378,331,1918,1027,1578,627,1686,695,0.693,458.7,True,TN03D9766,0.979,TN03D9766,accepted,194.5
260,10,car,591,381,1005,649,664,560,755,592,0.548,458.7,True,TN41AR0082,0.894,TN41AR0082,accepted,187.4
265,1,auto,1388,333,1920,1026,1586,627,1690,690,0.699,429.1,True,TN03D9766,0.987,TN03D9766,accepted,208.1
265,11,car,42,381,845,830,140,685,289,737,0.687,429.1,True,TN41AR0082,0.965,TN41AR0082,accepted,178.7
270,1,auto,1389,333,1919,1028,1588,626,1695,694,0.706,513.7,True,TN03D9766,0.991,TN03D9766,accepted,256.1
275,1,van,1392,326,1920,1015,1593,627,1696,691,0.689,446.6,True,TN03D9766,0.969,TN03D9766,accepted,249.7
280,1,auto,1393,330,1919,1027,1591,624,1697,692,0.704,500.4,True,TN03D9766,0.988,TN03D9766,accepted,186.5
285,1,auto,1393,329,1919,1026,1591,623,1697,692,0.694,427.9,True,TN03D9766,0.983,TN03D9766,accepted,192.0
290,1,auto,1391,329,1919,1027,1588,625,1696,695,0.699,453.2,True,TN03D9766,0.982,TN03D9766,accepted,280.0
295,1,auto,1393,330,1919,1028,1588,626,1699,695,0.657,411.1,True,TN03D9766,0.976,TN03D9766,accepted,261.3
300,1,auto,1394,329,1919,1026,1588,624,1698,690,0.718,544.6,True,TN03D9766,0.987,TN03D9766,accepted,187.3
305,1,auto,1396,329,1919,1023,1589,624,1699,690,0.746,446.2,True,TN03D9766,0.974,TN03D9766,accepted,235.5
310,1,auto,1394,330,1919,1024,1587,622,1696,690,0.716,434.7,True,TN03D9766,0.985,TN03D9766,accepted,196.7
315,1,auto,1394,330,1919,1026,1589,624,1696,693,0.676,447.9,True,TN03D9766,0.990,TN03D9766,accepted,198.8
320,1,auto,1394,330,1919,1022,1587,623,1696,690,0.689,711.3,True,TN03D9766,0.985,TN03D9766,accepted,198.6
325,1,auto,1395,330,1919,1021,1588,622,1697,691,0.741,434.0,True,TN03D9766,0.983,TN03D9766,accepted,207.1
330,1,auto,1393,330,1919,1022,1586,624,1692,693,0.708,439.3,True,TN03D9766,0.980,TN03D9766,accepted,227.2
335,1,auto,1395,330,1919,1023,1587,624,1696,691,0.684,452.3,True,TN03D9766,0.971,TN03D9766,accepted,247.7
340,1,auto,1394,330,1919,1022,1587,623,1698,691,0.705,454.1,True,TN03D9766,0.986,TN03D9766,accepted,247.6
345,1,auto,1395,329,1919,1024,1587,623,1695,691,0.710,469.2,True,TN03D9766,0.975,TN03D9766,accepted,210.6
350,1,auto,1396,331,1919,1022,1588,622,1697,690,0.746,641.9,True,TN03D9766,0.989,TN03D9766,accepted,186.0
355,1,auto,1396,331,1919,1022,1587,622,1696,690,0.736,587.4,True,TN03D9766,0.966,TN03D9766,accepted,202.0
360,1,auto,1395,330,1919,1021,1587,622,1697,691,0.737,439.4,True,TN03D9766,0.987,TN03D9766,accepted,194.6
365,1,auto,1397,330,1919,1021,1588,622,1698,691,0.732,416.3,True,TN03D9766,0.984,TN03D9766,accepted,188.1
370,1,auto,1395,331,1919,1026,1588,624,1699,690,0.718,557.4,True,TN03D9766,0.985,TN03D9766,accepted,214.7
375,1,auto,1389,335,1919,1030,1587,628,1694,694,0.653,640.8,True,TN03D9766,0.984,TN03D9766,accepted,196.8
380,1,auto,1395,337,1919,1033,1589,630,1699,702,0.694,463.6,True,TN03D9766,0.973,TN03D9766,accepted,212.1
385,1,auto,1394,336,1919,1032,1589,629,1700,701,0.700,501.5,True,TN03D9766,0.979,TN03D9766,accepted,204.0
390,1,auto,1395,336,1919,1033,1595,631,1697,697,0.698,481.0,True,TN03D9766,0.990,TN03D9766,accepted,267.7
