track_id,vehicle_type,first_frame,last_frame,ocr_attempts,best_plate,best_confidence,all_readings
1,auto,1,15,11,TN03D9766,0.989,TN03D9766
2,motorcycle,1,7,2,,0.000,
3,car,4,54,27,TN10BL7364,0.959,NL03L736;TN10BL7364;TN10DL7164;TN10EL7364;TN1OBL7364;TN1OIL7364;TN1OPL7364
4,motorcycle,18,31,9,TN10CC0947,0.857,NL0CC0947;TN10CC0947;TN1OCC0943;TN1OCC0947
5,motorcycle,29,29,0,,0.000,
6,motorcycle,30,31,0,,0.000,
7,auto,35,315,244,TN03D9766,0.993,TN03D9766;TN03O9766
8,car,59,97,17,TN09CX5000,0.955,TN09CI5000;TN09CX5000;TR03CR5000
9,car,242,266,14,TN41AR0082,0.976,TN41AR0082;TN41ARD002
10,auto,299,369,0,,0.000,
11,auto,366,1328,1040,TN03D9766,0.992,NL3D9766;TN03D9766;TN03O9766
12,motorcycle,372,435,9,TN37OF3523,0.939,TN37LF3523;TN37OF3523;TN97OF3523
13,motorcycle,415,446,15,TN1OBY5351,0.916,KL0BY5351;TN10BY5351;TN1OBY5351
14,auto,450,450,1,,0.000,
15,car,482,516,16,TN09BT8635,0.865,TN03T0535;TN09BT8535;TN09BT8635;TN09T0635;TN09T8635
16,auto,502,594,8,,0.000,
17,auto,773,773,0,,0.000,
18,motorcycle,791,797,0,,0.000,
19,motorcycle,798,804,5,,0.000,
20,motorcycle,800,808,0,,0.000,
21,motorcycle,809,815,0,,0.000,
22,auto,811,840,4,,0.000,
23,bus,814,842,25,TN23AP4115,0.979,MZ3A4115;MZ3AP4115;TN23AP4113;TN23AP4115;TN23AP4119
24,auto,842,846,1,,0.000,
25,car,848,921,45,TN04AY8104,0.969,NL4AT6104;NL4AT8104;NL4AY8104;TN02ATA104;TN04AT8104;TN04AY8104;TN0CAT6104;TN0ZAT0104;TN0ZAT8104;TN0ZAY0104
26,bus,849,852,0,,0.000,
27,auto,873,876,1,,0.000,
28,auto,879,879,0,,0.000,
29,auto,881,884,0,,0.000,
30,motorcycle,891,896,0,,0.000,
31,auto,914,914,0,,0.000,
32,car,932,950,19,TN1ZBJ9333,0.940,MZ339333;MZ8J3333;MZ8J9333;TN12BJ9333;TN1ZBJ3333;TN1ZBJ9333
33,car,936,968,12,TN09Z174,0.818,TN03Z1714;TN09EZ1784;TN09Z174
34,auto,942,942,0,,0.000,
35,auto,947,972,1,,0.000,
36,car,954,1001,40,TN10BY3974,0.924,NL0BV3374;NL0BY3574;TN10BV3974;TN10BY3974;TN1OBI3974;TN1OBV3974;TN1OBY3974
37,auto,1000,1157,8,,0.000,
38,car,1010,1068,20,TN073736,0.902,NL7E3736;TN073735;TN073736;TN07EN3736;TN07N3736
39,car,1124,1181,25,TN09CS1812,0.945,NL9CS1012;TN03CS1012;TN03CS1812;TN09CS1012;TN09CS1812
40,car,1158,1199,28,TN0SOB4398,0.946,NL50B4398;NL5DB4398;TN05DB4398;TN0SOB4390;TN0SOB4398
41,auto,1184,1221,0,,0.000,
42,car,1226,1247,1,,0.000,
43,motorcycle,1234,1267,0,,0.000,
44,auto,1251,1324,0,,0.000,
45,car,1300,1308,8,TN976500,0.989,TN976500;TN97G6500
