frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms
5,1,motorcycle,252,513,593,912,311,653,397,691,0.547,571.6,True,17055280,0.640,,rejected,496.4
5,2,car,1124,410,1227,514,1137,470,1178,490,0.421,571.6,True,,,,no_text,67.2
15,5,auto,1278,369,1808,1071,1463,669,1569,734,0.361,272.7,True,TN03D9766,0.980,TN03D9766,accepted,321.3
35,19,auto,1297,366,1808,1063,1466,660,1592,739,0.309,224.0,True,TN03D9766,0.982,TN03D9766,accepted,156.7
45,5,auto,1290,363,1818,1062,1462,658,1600,745,0.475,244.6,True,TN03D9766,0.961,TN03D9766,accepted,268.8
50,5,auto,1289,359,1819,1061,1468,661,1584,734,0.386,239.9,True,TN03D9766,0.991,TN03D9766,accepted,157.5
55,5,auto,1291,358,1820,1056,1472,661,1576,727,0.520,235.1,True,TN03D9766,0.984,TN03D9766,accepted,289.8
60,5,auto,1293,354,1821,1050,1460,652,1592,737,0.473,239.3,True,TN03D9766,0.957,TN03D9766,accepted,154.6
65,5,auto,1290,351,1817,1046,1468,651,1580,723,0.598,263.8,True,TN03D9766,0.974,TN03D9766,accepted,156.9
90,5,auto,1374,329,1911,1031,1559,630,1682,709,0.489,241.6,True,TN03D9766,0.974,TN03D9766,accepted,283.9
95,5,auto,1378,326,1915,1027,1560,628,1680,704,0.592,223.0,True,TN03D9766,0.983,TN03D9766,accepted,158.6
100,5,auto,1377,325,1915,1027,1562,628,1678,702,0.548,204.3,True,TN03D9766,0.979,TN03D9766,accepted,255.7
105,5,auto,1376,324,1915,1027,1563,628,1676,701,0.632,218.0,True,TN03D9766,0.982,TN03D9766,accepted,290.0
110,5,auto,1375,322,1916,1028,1561,627,1677,702,0.595,222.4,True,TN03D9766,0.981,TN03D9766,accepted,155.2
115,5,auto,1375,319,1918,1027,1560,626,1684,707,0.617,222.5,True,TN03D9766,0.988,TN03D9766,accepted,155.2
120,5,auto,1374,319,1917,1027,1562,627,1681,704,0.657,226.9,True,TN03D9766,0.966,TN03D9766,accepted,198.1
125,5,auto,1374,315,1917,1024,1565,622,1684,700,0.504,226.0,True,TN03D9766,0.989,TN03D9766,accepted,155.7
130,5,auto,1375,311,1918,1022,1565,617,1685,695,0.530,238.1,True,TN03D9766,0.982,TN03D9766,accepted,155.1
135,5,auto,1376,310,1919,1021,1568,617,1685,693,0.384,236.6,True,TN03D9766,0.980,TN03D9766,accepted,155.7
140,5,auto,1377,313,1918,1020,1570,618,1690,697,0.554,225.6,True,TN03D9766,0.992,TN03D9766,accepted,154.4
145,5,auto,1376,313,1918,1022,1570,618,1684,693,0.486,245.4,True,TN03D9766,0.989,TN03D9766,accepted,154.8
150,5,auto,1373,311,1917,1023,1567,619,1682,694,0.252,251.1,True,TN03D9766,0.964,TN03D9766,accepted,156.1
160,5,auto,1374,310,1916,1020,1561,614,1688,698,0.533,263.2,True,TN03D9766,0.981,TN03D9766,accepted,155.2
165,5,auto,1372,307,1916,1019,1556,611,1692,703,0.482,222.9,True,TN03D9766,0.987,TN03D9766,accepted,155.1
170,5,auto,1368,307,1912,1020,1557,611,1686,699,0.496,223.8,True,TN03D9766,0.986,TN03D9766,accepted,154.3
175,5,auto,1369,310,1910,1019,1563,614,1681,694,0.434,226.6,True,TN03D9766,0.977,TN03D9766,accepted,155.3
180,5,auto,1370,310,1911,1019,1559,611,1685,698,0.423,221.6,True,TN03D9766,0.982,TN03D9766,accepted,153.7
185,5,auto,1370,310,1911,1020,1559,610,1687,699,0.458,209.8,True,TN03D9766,0.969,TN03D9766,accepted,154.1
190,5,auto,1372,312,1912,1021,1562,613,1684,698,0.345,218.5,True,TN03D9766,0.987,TN03D9766,accepted,154.1
195,5,auto,1371,312,1911,1022,1567,618,1681,697,0.437,220.0,True,TN03D9766,0.984,TN03D9766,accepted,199.3
200,5,auto,1371,313,1911,1021,1567,620,1679,697,0.467,237.4,True,TN03D9766,0.984,TN03D9766,accepted,195.8
