frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms
5,1,motorcycle,252,513,593,912,311,653,397,691,0.547,625.7,True,17055280,0.640,,rejected,381.4
5,2,car,1124,410,1227,514,1137,470,1178,490,0.421,625.7,True,,,,no_text,71.2
10,1000000,car,1091,419,1212,531,1114,487,1151,504,0.540,279.1,True,,,,no_text,60.1
10,1000001,auto,1278,369,1803,1071,1463,671,1565,734,0.445,279.1,True,TN03D9766,0.989,TN03D9766,accepted,404.0
15,1000001,unknown,,,,,1463,669,1569,734,0.361,237.5,True,TN03D9766,0.980,TN03D9766,accepted,154.9
20,1000000,car,1003,408,1171,563,1045,503,1092,521,0.703,222.9,True,,,,no_text,189.9
20,1000002,motorcycle,848,469,992,693,864,547,927,573,0.456,222.9,True,,,,no_text,75.1
30,1000002,car,871,411,1118,616,929,537,999,564,0.734,227.1,True,TN103L736,0.863,NL03L736,accepted,164.6
30,1000003,motorcycle,82,547,610,1077,146,792,262,859,0.574,227.1,True,IN10CC0947,0.856,TN10CC0947,accepted,203.7
30,1000004,motorcycle,82,547,610,1077,240,626,325,664,0.570,227.1,True,,,,no_text,62.9
40,1000005,car,658,401,1043,714,736,597,842,635,0.737,245.3,True,2TN108L7364,0.862,TN1OBL7364,accepted,302.7
40,1000006,auto,1286,364,1819,1062,1474,666,1577,732,0.271,245.3,True,TN03D9766,0.980,TN03D9766,accepted,199.8
45,1000006,unknown,,,,,1464,659,1594,743,0.475,273.8,True,TN03D9766,0.982,TN03D9766,accepted,202.9
50,1000007,car,215,380,928,897,336,721,504,774,0.744,265.7,True,FTN10BL7364,0.912,TN10BL7364,accepted,176.4
50,1000006,auto,1283,358,1824,1061,1471,663,1575,729,0.386,265.7,True,TN03D9766,0.989,TN03D9766,accepted,197.7
55,1000006,unknown,,,,,1472,662,1573,726,0.520,236.8,True,TN03D9766,0.986,TN03D9766,accepted,205.2
65,1000006,unknown,,,,,1483,651,1563,720,0.598,272.9,True,TN03D9766,0.984,TN03D9766,accepted,204.0
90,5,auto,1374,330,1911,1031,1559,630,1682,709,0.489,258.2,True,TN03D9766,0.974,TN03D9766,accepted,253.5
100,5,auto,1377,325,1916,1028,1568,628,1673,702,0.548,229.3,True,TN03D9766,0.983,TN03D9766,accepted,284.1
120,5,auto,1374,319,1917,1027,1579,626,1664,711,0.657,272.3,True,TN03D9766,0.985,TN03D9766,accepted,231.8
130,5,auto,1374,311,1918,1022,1566,616,1683,694,0.530,257.9,True,TN03D9766,0.971,TN03D9766,accepted,152.7
170,5,auto,1368,307,1912,1020,1568,611,1673,698,0.496,262.8,True,TN03D9766,0.976,TN03D9766,accepted,148.2
225,5,auto,1377,319,1914,1024,1567,623,1680,699,0.654,262.9,True,TN03D9766,0.990,TN03D9766,accepted,238.6
250,5,auto,1378,324,1914,1024,1568,625,1687,720,0.693,275.5,True,TN03D9766,0.976,TN03D9766,accepted,147.5
275,5,auto,1389,324,1920,1027,1586,628,1702,704,0.386,248.6,True,TN03D9766,0.987,TN03D9766,accepted,230.1
285,5,auto,1389,321,1920,1027,1590,628,1697,696,0.495,253.9,True,TN03D9766,0.982,TN03D9766,accepted,197.9
310,5,auto,1390,321,1920,1028,1693,821,1784,870,0.358,252.6,True,,,,no_text,56.2
400,5,auto,1398,330,1920,1035,1595,632,1712,701,0.593,252.8,True,TN03D9766,0.978,TN03D9766,accepted,198.1
405,5,auto,1401,331,1920,1036,1617,630,1697,713,0.606,237.4,True,TN03D9766,0.986,TN03D9766,accepted,227.4
415,5,auto,1405,329,1920,1035,1606,630,1719,702,0.628,256.2,True,TN03D9766,0.972,TN03D9766,accepted,158.3
425,5,auto,1412,330,1920,1035,1632,629,1715,711,0.609,253.9,True,TN03D9766,0.969,TN03D9766,accepted,241.9
430,5,auto,1415,329,1920,1034,1632,626,1724,707,0.601,236.6,True,TN03D9766,0.971,TN03D9766,accepted,149.6
440,5,auto,1421,329,1920,1037,1634,631,1743,698,0.352,294.7,True,TN03D9766,0.971,TN03D9766,accepted,242.7
470,5,auto,1435,326,1920,1040,1639,628,1757,706,0.406,272.3,True,TN03D9766,0.978,TN03D9766,accepted,194.5
500,5,auto,1441,317,1920,1036,1656,626,1765,698,0.370,247.3,True,TN03D9766,0.983,TN03D9766,accepted,278.3
530,5,auto,1452,318,1920,1035,1661,624,1770,702,0.387,245.6,True,TN03D9766,0.983,TN03D9766,accepted,151.3
565,5,auto,1454,320,1920,1038,1651,619,1780,713,0.668,225.0,True,TN03D9766,0.947,TN03D9766,accepted,202.6
565,5,auto,1454,320,1920,1038,1645,618,1780,756,0.454,225.0,True,,,,no_text,186.0
615,5,auto,1432,333,1904,1040,1593,628,1754,749,0.597,269.7,True,TN039766,0.989,TN039766,accepted,173.8
625,5,auto,1426,336,1905,1043,1612,634,1724,716,0.552,290.4,True,TN03D9766,0.971,TN03D9766,accepted,154.6
675,5,auto,1417,345,1917,1060,1619,648,1724,728,0.638,288.3,True,TN03D9766,0.957,TN03D9766,accepted,159.5
685,5,auto,1414,348,1916,1065,1612,645,1737,744,0.696,333.8,True,TN03D9766,0.978,TN03D9766,accepted,158.8
705,5,auto,1414,325,1916,1038,1613,626,1720,713,0.648,239.4,True,TN03D9766,0.963,TN03D9766,accepted,151.3
715,5,auto,1414,326,1916,1037,1620,625,1713,717,0.690,287.0,True,TN03D9766,0.930,TN03D9766,accepted,187.2
730,5,auto,1415,323,1918,1034,1611,625,1723,701,0.552,241.1,True,TN03D9766,0.987,TN03D9766,accepted,228.2
780,5,auto,1419,313,1920,1023,1611,613,1725,690,0.541,258.4,True,TN03D9766,0.972,TN03D9766,accepted,197.4
790,5,auto,1421,306,1920,1017,1626,611,1720,693,0.481,252.2,True,TN03D9766,0.978,TN03D9766,accepted,198.4
805,5,auto,1428,298,1920,1012,1638,603,1737,671,0.409,289.9,True,TN03D9766,0.979,TN03D9766,accepted,229.8
815,5,auto,1434,291,1920,1004,1637,597,1745,668,0.367,435.1,True,TN03D9766,0.956,TN03D9766,accepted,329.3
825,5,auto,1441,291,1920,1003,1649,594,1752,666,0.455,478.2,True,TN03D9766,0.978,TN03D9766,accepted,353.8
845,5,auto,1441,286,1920,1001,1651,590,1748,681,0.456,353.0,True,TN03D9766,0.977,TN03D9766,accepted,196.8
855,5,auto,1442,284,1920,997,1649,588,1754,653,0.433,478.2,True,TN03D9766,0.979,TN03D9766,accepted,289.8
885,5,auto,1444,285,1920,998,1634,586,1761,703,0.544,304.0,True,TN03D9766,0.976,TN03D9766,accepted,417.3
885,5,auto,1444,285,1920,998,1632,588,1760,669,0.438,304.0,True,TN03D9766,0.985,TN03D9766,accepted,207.7
895,5,auto,1447,285,1920,995,1638,587,1755,661,0.351,285.5,True,TN03D9766,0.979,TN03D9766,accepted,241.5
915,5,auto,1451,286,1920,993,1652,587,1746,659,0.599,369.2,True,TN03D9766,0.934,TN03D9766,accepted,165.4
920,5,auto,1450,283,1920,993,1655,588,1749,669,0.498,345.6,True,TN03D9766,0.988,TN03D9766,accepted,166.0
960,5,auto,1448,287,1919,999,1640,588,1767,678,0.576,248.1,True,TN03D9766,0.970,TN03D9766,accepted,195.3
975,5,auto,1447,286,1919,998,1622,586,1770,708,0.588,272.4,True,TN0309766,0.952,TN03O9766,accepted,192.6
1025,5,auto,1450,285,1920,998,1657,587,1756,676,0.601,248.8,True,TN03D9766,0.964,TN03D9766,accepted,196.0
1060,5,auto,1456,289,1920,997,1643,587,1765,664,0.644,248.1,True,TN03D9766,0.986,TN03D9766,accepted,200.9
1080,5,auto,1453,289,1920,1001,1650,590,1749,672,0.447,272.2,True,TN03D9766,0.955,TN03D9766,accepted,167.2
1105,5,auto,1446,288,1916,1001,1653,592,1753,663,0.523,334.4,True,TN03D9766,0.966,TN03D9766,accepted,291.3
1135,5,auto,1444,290,1915,1001,1628,592,1743,667,0.640,362.2,True,TN03D9766,0.981,TN03D9766,accepted,342.7
1145,5,auto,1440,293,1912,1001,1622,594,1733,669,0.714,341.1,True,TN03D9766,0.978,TN03D9766,accepted,230.2
1170,5,auto,1436,292,1914,1001,1617,591,1736,681,0.727,394.8,True,TN03D9766,0.984,TN03D9766,accepted,259.3
1255,5,auto,1430,293,1916,1002,1617,596,1719,663,0.739,253.1,True,TN03D9766,0.987,TN03D9766,accepted,238.3
1260,5,auto,1430,292,1917,1002,1617,596,1719,664,0.747,236.1,True,TN03D9766,0.971,TN03D9766,accepted,157.8
1285,5,auto,1429,290,1917,998,1618,589,1717,660,0.641,403.8,True,TN03D9766,0.976,TN03D9766,accepted,158.4
1300,5,auto,1426,290,1915,998,1609,591,1709,660,0.547,275.2,True,TN03D9766,0.939,TN03D9766,accepted,185.8
1320,5,auto,1424,291,1917,999,1604,588,1721,673,0.576,351.2,True,TN03D9766,0.977,TN03D9766,accepted,172.6
