track_id,vehicle_type,first_frame,last_frame,ocr_attempts,best_plate,best_confidence,all_readings
1,motorcycle,5,5,1,,0.000,
2,car,5,5,0,,0.000,
5,auto,90,1320,52,TN03D9766,0.990,TN039766;TN03D9766;TN03O9766
1000000,car,10,20,0,,0.000,
1000001,auto,10,15,2,TN03D9766,0.989,TN03D9766
1000002,motorcycle,20,30,1,NL03L736,0.863,NL03L736
1000003,motorcycle,30,30,1,TN10CC0947,0.856,TN10CC0947
1000004,motorcycle,30,30,0,,0.000,
1000005,car,40,40,1,TN1OBL7364,0.862,TN1OBL7364
1000006,auto,40,65,5,TN03D9766,0.989,TN03D9766
1000007,car,50,50,1,TN10BL7364,0.912,TN10BL7364
