frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms
1,4,auto,1274,354,1803,1053,1463,656,1564,726,0.411,685.1,True,TN03D9766,0.983,TN03D9766,accepted,402.0
1,1,motorcycle,526,493,755,773,568,588,636,616,0.396,685.1,True,,,,no_text,208.2
2,4,auto,1277,354,1806,1053,1449,653,1581,745,0.506,290.1,True,TN03D9766,0.981,TN03D9766,accepted,173.7
3,4,auto,1276,356,1804,1053,1459,657,1570,734,0.394,257.3,True,TN03D9766,0.988,TN03D9766,accepted,271.9
6,4,auto,1280,356,1808,1055,1467,660,1565,728,0.305,294.0,True,TN03D9766,0.985,TN03D9766,accepted,160.5
9,2,car,1101,416,1206,528,1116,484,1158,504,0.385,351.5,True,,,,no_text,123.7
10,2,car,1098,419,1204,530,1115,486,1153,504,0.540,240.5,True,,,,no_text,59.0
10,4,auto,1275,369,1805,1071,1468,670,1560,733,0.445,240.5,True,TN03D9766,0.983,TN03D9766,accepted,292.6
11,2,car,1093,417,1203,532,1109,487,1147,505,0.519,260.2,True,,,,no_text,119.2
11,1000000,unknown,,,,,1468,667,1565,734,0.326,260.2,True,TN03D9766,0.986,TN03D9766,accepted,193.3
12,2,car,1082,418,1198,537,1107,490,1141,505,0.472,255.7,True,,,,no_text,64.5
12,4,auto,1280,369,1810,1073,1471,667,1571,736,0.271,255.7,True,TN03D9766,0.969,TN03D9766,accepted,171.4
13,2,car,1077,418,1196,539,1107,491,1139,506,0.509,320.4,True,,,,no_text,46.6
13,27,motorcycle,1289,362,1811,1070,1472,667,1576,738,0.352,320.4,True,TN03D9766,0.979,TN03D9766,accepted,157.2
14,2,car,1065,418,1189,541,1099,492,1132,507,0.554,269.8,True,,,,no_text,60.6
14,27,auto,1289,369,1807,1070,1472,667,1575,737,0.370,269.8,True,TN03D9766,0.977,TN03D9766,accepted,159.9
15,2,car,1055,415,1185,544,1087,493,1124,510,0.564,241.5,True,,,,no_text,117.8
15,27,auto,1286,369,1803,1070,1469,668,1570,736,0.361,241.5,True,TN03D9766,0.968,TN03D9766,accepted,217.9
16,2,car,1043,413,1179,546,1075,493,1115,511,0.604,386.8,True,,,,no_text,61.2
17,2,car,1034,409,1180,551,1069,496,1109,514,0.584,326.7,True,,,,no_text,65.8
18,2,car,1026,410,1175,553,1063,498,1104,517,0.627,258.6,True,,,,no_text,58.4
19,2,car,1017,408,1171,555,1059,501,1098,518,0.608,257.6,True,,,,no_text,61.6
20,2,car,1007,408,1168,561,1049,503,1090,520,0.703,241.8,True,,,,no_text,63.8
21,2,car,1001,407,1166,563,1044,503,1088,523,0.659,236.4,True,,,,no_text,113.5
22,2,car,997,407,1164,565,1040,506,1086,526,0.573,253.4,True,,,,no_text,69.1
24,2,car,948,406,1139,584,990,517,1052,543,0.691,284.5,True,,,,no_text,219.5
25,2,car,937,406,1136,589,985,518,1048,544,0.709,262.7,True,,,,no_text,69.3
26,2,car,928,407,1132,592,977,521,1043,548,0.743,261.2,True,,,,no_text,64.6
27,2,car,912,406,1127,600,965,524,1031,552,0.565,253.8,True,,,,no_text,119.0
28,2,car,902,407,1121,603,956,529,1021,556,0.719,254.5,True,,,,no_text,63.9
29,2,car,893,408,1117,607,946,532,1014,560,0.751,234.0,True,TIN10BL7364,0.630,TN10BL7364,accepted,224.8
30,2,car,880,410,1111,614,934,536,1000,563,0.734,327.6,True,CED,0.547,,rejected,134.4
31,2,car,869,409,1108,619,923,539,995,568,0.747,258.4,True,ETM100L7164,0.747,TN1OOL7164,accepted,134.6
32,2,car,857,408,1102,621,914,542,985,571,0.736,255.1,True,ETN101L7364,0.695,TN1OIL7364,accepted,171.5
33,2,car,838,408,1095,630,897,547,970,577,0.665,268.4,True,TN108D36,0.598,,rejected,140.4
34,2,car,824,407,1091,637,884,551,959,581,0.748,263.6,True,TN10PL7364,0.763,TN10PL7364,accepted,214.7
35,2,car,811,406,1087,644,872,554,949,585,0.765,277.2,True,FIN1O8L7354,0.647,TN1OBL7354,accepted,148.0
37,2,car,733,402,1058,678,798,580,886,611,0.784,274.4,True,TN10BL7364,0.953,TN10BL7364,accepted,267.6
38,2,car,712,403,1050,689,782,586,874,619,0.798,267.6,True,TN10BL7364,0.902,TN10BL7364,accepted,165.6
39,2,car,691,402,1043,700,760,590,859,625,0.727,276.1,True,IN108L7364,0.821,TN1OBL7364,accepted,174.9
40,2,car,668,401,1036,711,739,596,844,633,0.737,410.3,True,2TN10BL7364,0.860,TN10BL7364,accepted,164.8
41,2,car,648,402,1028,720,720,603,827,641,0.773,287.5,True,TN10BL7364,0.883,TN10BL7364,accepted,144.2
42,2,car,626,401,1019,728,700,610,807,648,0.781,252.4,True,IN10BL7364,0.929,TN10BL7364,accepted,216.4
43,2,car,602,399,1011,737,678,616,787,655,0.797,259.0,True,TN10BL7364,0.934,TN10BL7364,accepted,143.6
44,2,car,558,396,996,756,636,631,749,671,0.764,259.5,True,TN10BL7364,0.963,TN10BL7364,accepted,142.4
44,4,auto,1290,361,1817,1061,1470,657,1590,739,0.375,259.5,True,TN03D9766,0.967,TN03D9766,accepted,210.7
45,2,car,518,394,984,775,600,640,722,683,0.806,259.8,True,TN10BL7364,0.956,TN10BL7364,accepted,142.1
45,4,auto,1290,361,1818,1061,1469,657,1591,744,0.475,259.8,True,TN03D9766,0.978,TN03D9766,accepted,208.6
46,2,car,483,391,973,789,569,651,690,694,0.788,248.8,True,TN10BL7364,0.940,TN10BL7364,accepted,140.5
46,4,auto,1289,360,1818,1063,1466,657,1594,751,0.457,248.8,True,TN03D9766,0.976,TN03D9766,accepted,197.3
47,4,auto,1290,362,1818,1062,1458,653,1601,763,0.585,248.3,True,TN03D9766,0.983,TN03D9766,accepted,154.7
48,4,auto,1291,361,1819,1062,1457,652,1602,768,0.531,253.7,True,TN03D9766,0.972,TN03D9766,accepted,263.7
49,4,auto,1290,361,1819,1060,1460,652,1598,765,0.308,265.4,True,TN03D9766,0.968,TN03D9766,accepted,200.7
52,4,auto,1287,358,1818,1059,1474,661,1574,729,0.439,242.4,True,TN03D9766,0.984,TN03D9766,accepted,238.6
53,4,auto,1288,360,1819,1059,1468,654,1591,756,0.402,239.8,True,TN03D9766,0.953,TN03D9766,accepted,168.2
54,4,auto,1289,360,1820,1056,1474,662,1573,729,0.502,263.3,True,TN03D9766,0.989,TN03D9766,accepted,266.6
55,4,auto,1289,359,1821,1054,1475,662,1570,726,0.520,260.6,True,TN03D9766,0.987,TN03D9766,accepted,156.8
56,4,auto,1290,359,1822,1056,1469,653,1588,751,0.522,231.9,True,TN03D9766,0.973,TN03D9766,accepted,162.3
57,4,auto,1290,359,1821,1054,1472,654,1577,740,0.543,241.1,True,TN03D9766,0.990,TN03D9766,accepted,152.3
58,4,auto,1290,358,1821,1053,1473,654,1575,738,0.470,269.0,True,TN03D9766,0.987,TN03D9766,accepted,155.4
59,4,auto,1290,356,1820,1050,1473,653,1574,736,0.296,252.3,True,TN03D9766,0.980,TN03D9766,accepted,157.8
60,4,auto,1291,354,1822,1048,1471,650,1580,739,0.473,262.0,True,TN03D9766,0.983,TN03D9766,accepted,252.8
61,4,auto,1289,350,1821,1047,1479,650,1576,728,0.525,262.3,True,TN03D9766,0.981,TN03D9766,accepted,157.1
62,4,auto,1289,349,1823,1047,1481,650,1574,725,0.603,252.8,True,TN03D9766,0.972,TN03D9766,accepted,162.0
63,4,auto,1288,349,1820,1045,1474,647,1578,731,0.273,254.6,True,TN03D9766,0.987,TN03D9766,accepted,157.3
64,4,auto,1286,350,1819,1047,1476,650,1572,726,0.374,248.2,True,TN03D9766,0.949,TN03D9766,accepted,200.3
65,4,auto,1286,350,1818,1046,1480,651,1565,717,0.598,238.7,True,TN03D9766,0.963,TN03D9766,accepted,164.7
66,4,auto,1286,349,1819,1046,1480,650,1567,717,0.670,255.6,True,TN03D9766,0.980,TN03D9766,accepted,201.4
67,4,auto,1292,347,1826,1045,1485,650,1574,716,0.553,245.9,True,TN03D9766,0.989,TN03D9766,accepted,205.5
68,4,auto,1292,346,1826,1042,1490,648,1582,716,0.289,237.0,True,TN03D9766,0.969,TN03D9766,accepted,156.1
73,32,car,895,359,1115,537,942,470,1006,492,0.490,284.0,True,,,,no_text,71.7
74,32,car,887,358,1114,541,935,475,999,497,0.586,238.9,True,,,,no_text,160.6
74,4,auto,1330,341,1870,1040,1517,640,1626,722,0.475,238.9,True,TN03D9766,0.980,TN03D9766,accepted,192.9
75,4,auto,1332,342,1872,1039,1526,638,1632,717,0.334,257.9,True,TN03D9766,0.972,TN03D9766,accepted,184.1
76,4,auto,1337,338,1877,1036,1530,639,1632,714,0.543,252.3,True,TN03D9766,0.977,TN03D9766,accepted,218.1
76,32,car,872,355,1111,546,923,481,987,503,0.479,252.3,True,,,,no_text,185.8
77,4,auto,1340,337,1884,1038,1535,640,1635,711,0.434,257.5,True,TN03D9766,0.982,TN03D9766,accepted,347.9
77,32,car,866,355,1110,550,921,484,981,505,0.550,257.5,True,,,,no_text,178.1
78,32,car,859,354,1109,553,913,485,973,506,0.641,253.7,True,,,,no_text,141.1
79,32,car,850,353,1107,556,902,485,963,507,0.632,258.4,True,,,,no_text,119.6
80,32,car,834,352,1103,563,889,490,955,513,0.672,402.2,True,,,,no_text,140.5
81,32,car,822,350,1099,568,878,492,948,516,0.694,263.7,True,OINO3CKSOCO,0.509,,rejected,142.1
82,32,car,811,348,1096,571,869,493,936,517,0.647,255.6,True,RO3CKSOOO,0.581,RJ3CK5000,accepted,151.1
82,4,auto,1356,335,1906,1038,1562,638,1655,704,0.556,255.6,True,TN03D9766,0.979,TN03D9766,accepted,196.9
83,32,car,798,345,1093,575,855,494,929,520,0.730,263.9,True,FNO3CK5OO0,0.545,NL3CK5000,accepted,142.0
83,4,auto,1360,332,1910,1036,1563,638,1659,704,0.590,263.9,True,TN03D9766,0.985,TN03D9766,accepted,194.1
84,32,car,784,343,1088,580,839,497,916,524,0.701,255.3,True,STKO3CK5O00,0.622,,rejected,140.8
84,4,auto,1361,333,1911,1037,1561,635,1663,706,0.599,255.3,True,TN03D9766,0.981,TN03D9766,accepted,191.6
85,32,car,769,342,1084,585,826,503,903,529,0.643,247.9,True,ETKO9CX50GO,0.632,,rejected,214.9
85,4,auto,1362,332,1912,1035,1564,635,1665,704,0.611,247.9,True,TN03D9766,0.983,TN03D9766,accepted,224.7
86,32,car,753,340,1078,590,815,505,891,531,0.663,344.8,True,THO9CX500D,0.695,,rejected,144.5
86,4,auto,1363,330,1914,1035,1566,634,1671,705,0.487,344.8,True,TN03D9766,0.971,TN03D9766,accepted,199.4
87,32,car,723,337,1066,599,788,510,867,537,0.749,269.7,True,TMOSCXSOOO,0.758,TN0SCX5000,accepted,158.5
87,4,auto,1366,329,1915,1032,1565,630,1675,705,0.646,269.7,True,TN03D9766,0.985,TN03D9766,accepted,196.7
88,32,car,697,335,1059,610,764,516,846,544,0.734,257.5,True,TNO9CXSOOO,0.740,TN09CX5000,accepted,207.5
88,4,auto,1368,329,1916,1033,1567,631,1675,705,0.654,257.5,True,TN03D9766,0.985,TN03D9766,accepted,203.7
88,4,auto,1368,329,1916,1033,1564,626,1675,740,0.350,257.5,True,TN03D9766,0.956,TN03D9766,accepted,204.5
89,32,car,674,334,1051,619,740,522,826,551,0.701,303.8,True,TN09CX5000,0.791,TN09CX5000,accepted,140.5
89,4,auto,1370,330,1917,1033,1566,632,1678,708,0.553,303.8,True,TN03D9766,0.990,TN03D9766,accepted,194.9
89,4,auto,1370,330,1917,1033,1558,627,1681,754,0.501,303.8,True,TN03D9766,0.963,TN03D9766,accepted,195.4
90,32,car,651,332,1043,627,716,525,804,555,0.725,259.8,True,IN09CX5000,0.845,TN09CX5000,accepted,169.4
90,4,auto,1372,329,1917,1031,1565,630,1681,710,0.489,259.8,True,TN03D9766,0.989,TN03D9766,accepted,192.3
90,4,auto,1372,329,1917,1031,1556,625,1685,758,0.306,259.8,True,TN03D9766,0.952,TN03D9766,accepted,238.3
91,32,car,624,331,1035,638,691,531,784,563,0.741,253.6,True,TN09CX5000,0.861,TN09CX5000,accepted,143.7
91,4,auto,1372,329,1918,1032,1558,630,1691,723,0.662,253.6,True,TN03D9766,0.958,TN03D9766,accepted,192.1
91,4,auto,1372,329,1918,1032,1555,629,1682,759,0.300,253.6,True,ETN03D9766,0.913,TN03D9766,accepted,232.2
92,32,car,598,329,1023,643,666,538,761,570,0.706,241.1,True,TN09CX5000,0.920,TN09CX5000,accepted,155.1
92,4,auto,1373,330,1918,1033,1563,630,1685,715,0.607,241.1,True,TN03D9766,0.981,TN03D9766,accepted,193.1
92,4,auto,1373,330,1918,1033,1559,629,1685,758,0.439,241.1,True,TN03D9766LP,0.953,,rejected,361.6
93,4,auto,1371,325,1917,1029,1565,629,1679,709,0.585,251.4,True,TN03D9766,0.992,TN03D9766,accepted,223.3
94,4,auto,1371,325,1917,1028,1568,629,1676,704,0.617,441.2,True,TN03D9766,0.983,TN03D9766,accepted,257.3
95,4,auto,1373,325,1916,1027,1567,627,1675,703,0.592,412.1,True,TN03D9766,0.982,TN03D9766,accepted,166.2
96,4,auto,1374,323,1917,1025,1568,628,1675,703,0.559,306.3,True,TN03D9766,0.986,TN03D9766,accepted,157.5
97,4,auto,1374,324,1917,1026,1568,628,1674,702,0.526,253.1,True,TN03D9766,0.990,TN03D9766,accepted,202.1
98,4,auto,1373,324,1916,1027,1569,628,1672,700,0.586,257.8,True,TN03D9766,0.989,TN03D9766,accepted,266.4
99,4,auto,1372,324,1915,1028,1569,628,1674,702,0.571,346.3,True,TN03D9766,0.979,TN03D9766,accepted,201.1
100,4,auto,1372,325,1914,1028,1568,628,1674,702,0.548,255.6,True,TN03D9766,0.989,TN03D9766,accepted,202.2
101,4,auto,1373,324,1915,1027,1568,628,1673,701,0.616,276.3,True,TN03D9766,0.985,TN03D9766,accepted,291.8
102,4,auto,1373,323,1915,1026,1568,628,1672,700,0.562,252.3,True,TN03D9766,0.987,TN03D9766,accepted,204.8
103,4,auto,1374,325,1915,1027,1566,627,1674,702,0.577,245.8,True,TN03D9766,0.977,TN03D9766,accepted,202.9
104,4,auto,1374,324,1915,1025,1567,627,1672,700,0.568,336.2,True,TN03D9766,0.985,TN03D9766,accepted,249.7
