track_id,vehicle_type,first_frame,last_frame,ocr_attempts,best_plate,best_confidence,all_readings
1,motorcycle,1,1,0,,0.000,
2,car,9,46,17,TN10BL7364,0.963,TN10BL7364;TN10PL7364;TN1OBL7354;TN1OBL7364;TN1OIL7364;TN1OOL7164
4,auto,1,1328,1290,TN03D9766,0.993,NL03D9766;NL3D9766;TN03D9766;TN03O9766
27,motorcycle,13,15,3,TN03D9766,0.979,TN03D9766
32,car,73,92,12,TN09CX5000,0.920,NL3CK5000;RJ3CK5000;TN09CX5000;TN0SCX5000
121,car,244,256,4,TN41AR002,0.775,TN41AR002
187,motorcycle,422,440,7,TN1OBY5351,0.911,NL0BY5351;TN1OBY5351
255,car,483,503,5,TN09MT0535,0.692,TN09MT0535
491,motorcycle,804,808,0,,0.000,
570,car,871,916,40,NL4AY8104,0.963,DN0ZAT0104;NL4AT8104;NL4AY8104;TN04AI8104;TN04AT8104;TN04AY8104;TN0ZAT5104;TN0ZAT8104
624,bus,815,833,16,TN23AP4115,0.982,MZ3AP419;MZ3APA115;TN23AP4115
768,car,959,989,27,TN10BY3974,0.961,KL0OY3374;TN10BY3974;TN1OB3974;TN1OBI3974;TN1OBY3374;TN1OBY3974;TN1ODY3574
792,car,933,941,8,TN1ZBJ9333,0.912,MZ8J9333;TN1ZBJ9333
817,car,1022,1062,15,TN073736,0.933,NL7E3736;NL7EW3736;TN073735;TN073736;TN07E3736;TN07EN3736;TN07EW3735;TN0T3736
921,car,1127,1174,17,TN03CS1812,0.924,NL9CS1012;NL9CS1812;TN03CS1012;TN03CS1812;TN09CS1012;TN09CS1812;TN09CST812
940,car,1162,1191,18,TN0SOB4398,0.919,NL50B4398;NL5DB4398;TN0SOB4398
953,car,1241,1242,0,,0.000,
970,car,1235,1245,0,,0.000,
1135,car,1301,1305,5,TN976500,0.990,TN976500
1000000,unknown,11,11,1,TN03D9766,0.986,TN03D9766
